Unique Key,Incident Zip,Complaint Type,Descriptor
34413927,11218,Food Establishment,Rodents/Insects/Garbage
34414453,10027,Food Establishment,Bare Hands in Contact w/ Food
34414511,10036,Food Establishment,Toilet Facility
34414525,11377,Food Establishment,Permit/License/Certificate
34414971,10021,Food Establishment,Rodents/Insects/Garbage
34415028,11217,Food Establishment,Rodents/Insects/Garbage
34415490,11216,Food Establishment,Bare Hands in Contact w/ Food
34415607,10036,Food Poisoning,1 or 2
34415608,11105,Food Establishment,Permit/License/Certificate
34415675,11106,Food Poisoning,3 or More
34416038,11362,Food Establishment,Rodents/Insects/Garbage
34416512,11101.0,Food Establishment,Dishwashing/Utensils
34416592,10019.0,Food Poisoning,1 or 2
34416619,11105.0,Food Poisoning,1 or 2
34416826,11372.0,Food Establishment,Food Spoiled
34417036,10027.0,Food Establishment,Rodents/Insects/Garbage
34417067,10022.0,Food Establishment,Rodents/Insects/Garbage
34467325,10019.0,Food Establishment,Rodents/Insects/Garbage
34467338,10472.0,Food Establishment,Rodents/Insects/Garbage
34468552,10305.0,Food Establishment,Food Contains Foreign Object
34468573,10034.0,Smoking,Smoking Violation
34468677,11212.0,Food Poisoning,1 or 2
34468684,11354.0,Smoking,Smoking Violation
34468745,11235.0,Food Poisoning,3 or More
34468752,11229.0,Food Poisoning,1 or 2
34468753,10306.0,Food Poisoning,1 or 2
34468968,11101.0,Food Establishment,Food Spoiled
34468970,11229.0,Food Establishment,Food Contains Foreign Object
34469156,10306.0,Food Establishment,Rodents/Insects/Garbage
34469157,10014.0,Food Establishment,Rodents/Insects/Garbage
34469841,10470.0,Food Establishment,Food Contains Foreign Object
34470545,10012.0,Food Establishment,Rodents/Insects/Garbage
34470632,11362.0,Food Poisoning,1 or 2
34470720,10025.0,Food Poisoning,3 or More
34470790,10010.0,Food Establishment,Milk Not Pasteurized
34470927,10011.0,Food Poisoning,3 or More
34470944,11375.0,Food Poisoning,1 or 2
34471298,11211.0,Food Establishment,Bare Hands in Contact w/ Food
34471384,11230.0,Food Poisoning,1 or 2
34471541,11209.0,Food Establishment,Letter Grading
34471835,11213.0,Food Establishment,Rodents/Insects/Garbage
34472385,11211.0,Food Establishment,Food Worker Hygiene
45623584,11225.0,Food Establishment,Food Contaminated
34472699,11101.0,Food Establishment,Rodents/Insects/Garbage
34472856,10001.0,Food Establishment,No Permit or License
34473232,11366.0,Food Establishment,Food Worker Hygiene
34473774,10009.0,Food Establishment,Handwashing
34473933,11221.0,Food Establishment,Food Contaminated
34474208,11209.0,Food Poisoning,1 or 2
34474221,10314.0,Food Establishment,Letter Grading
34474283,11234.0,Food Poisoning,3 or More
34474525,11201.0,Food Establishment,Rodents/Insects/Garbage
34474966,10280.0,Food Establishment,Odor
34475064,10472.0,Food Establishment,Bare Hands in Contact w/ Food
34475098,11375.0,Food Establishment,Food Spoiled
34475154,11374.0,Food Poisoning,1 or 2
34475275,10456.0,Food Establishment,Food Worker Activity
34475332,11209.0,Food Establishment,Food Spoiled
34475472,11385.0,Food Establishment,Rodents/Insects/Garbage
34475988,11215.0,Food Establishment,Food Contaminated
34475993,11220.0,Food Establishment,Kitchen/Food Prep Area
34476349,10004.0,Food Establishment,Rodents/Insects/Garbage
34476352,10017.0,Food Establishment,Rodents/Insects/Garbage
34476515,10023.0,Food Establishment,Rodents/Insects/Garbage
34476801,10035.0,Food Establishment,Food Worker Hygiene
34476815,11220.0,Smoking,Smoking Violation
34476879,11234.0,Food Establishment,Food Worker Hygiene
34476944,10475.0,Food Establishment,Letter Grading
34477879,10017.0,Food Establishment,Rodents/Insects/Garbage
34478329,10002.0,Food Establishment,Ventilation
34478413,10459.0,Food Establishment,Food Worker Hygiene
34478885,10002.0,Food Poisoning,1 or 2
34479351,11205.0,Food Establishment,Letter Grading
34479610,10033.0,Food Establishment,Food Protection
34480273,10302.0,Food Establishment,Handwashing
34480414,11226.0,Food Poisoning,1 or 2
34481561,10017.0,Food Establishment,Food Contains Foreign Object
34481595,11691.0,Food Establishment,Food Spoiled
34482187,11365.0,Food Establishment,Food Worker Hygiene
34482211,11221.0,Food Poisoning,1 or 2
34482299,10006.0,Food Establishment,Bare Hands in Contact w/ Food
34482306,10002.0,Food Establishment,Bare Hands in Contact w/ Food
34482355,10016.0,Food Poisoning,1 or 2
34482718,11233.0,Food Establishment,Rodents/Insects/Garbage
34482797,10032.0,Food Establishment,Rodents/Insects/Garbage
34483146,11236.0,Food Establishment,Plumbing
34483409,11230.0,Food Poisoning,1 or 2
34483764,11218.0,Food Establishment,Rodents/Insects/Garbage
34483775,11105.0,Food Establishment,Pet/Animal
34484132,11201.0,Food Poisoning,1 or 2
34484230,10021.0,Food Establishment,Kitchen/Food Prep Area
34484322,11385.0,Food Poisoning,1 or 2
34484323,10019.0,Food Establishment,Letter Grading
34484519,11229.0,Food Establishment,Toilet Facility
34484730,11372.0,Food Poisoning,1 or 2
34485244,10022.0,Food Establishment,Food Temperature
34485643,10472.0,Food Establishment,Pet/Animal
34485910,10002.0,Food Establishment,Toilet Facility
34486272,11208.0,Food Establishment,Food Spoiled
34486458,11230.0,Food Establishment,Rodents/Insects/Garbage
34486481,11040.0,Food Poisoning,1 or 2
34487260,11235,Smoking,Smoking Violation
34488099,11206,Food Establishment,Rodents/Insects/Garbage
34488106,11420,Food Establishment,Rodents/Insects/Garbage
34488107,10001,Food Establishment,Rodents/Insects/Garbage
34488166,10021,Food Establishment,Rodents/Insects/Garbage
34488259,11208,Food Establishment,Kitchen/Food Prep Area
34488384,10027,Food Establishment,Food Temperature
34488941,11377,Food Establishment,Kitchen/Food Prep Area
34488990,10004,Food Establishment,Rodents/Insects/Garbage
34489149,11211,Food Establishment,Bare Hands in Contact w/ Food
34489201,10282,Food Establishment,Bare Hands in Contact w/ Food
34489228,10002,Food Establishment,Food Worker Hygiene
34489337,11218,Food Establishment,Food Worker Hygiene
34489567,10002,Food Establishment,Food Spoiled
34489779,10021,Smoking,Smoking Violation
34490186,11208,Food Poisoning,1 or 2
34490222,11104,Food Establishment,Letter Grading
34490600,10002,Food Establishment,Pet/Animal
34490686,10461,Smoking,Smoking Violation
34490820,10118,Food Establishment,Toilet Facility
34490903,11377,Food Establishment,Letter Grading
34490945,10016,Food Establishment,Food Contaminated
34491238,11220,Food Establishment,Food Spoiled
34491291,11229,Food Establishment,Toilet Facility
34491461,11422,Food Establishment,Rodents/Insects/Garbage
34491462,10002,Food Establishment,Rodents/Insects/Garbage
34491470,10009,Food Poisoning,3 or More
34491471,11236,Food Establishment,Rodents/Insects/Garbage
34491727,10002,Food Establishment,Kitchen/Food Prep Area
34491766,10002,Food Establishment,Bare Hands in Contact w/ Food
34491939,11385,Food Establishment,Letter Grading
34492300,11215,Food Establishment,Food Spoiled
34492573,11101,Food Establishment,Food Contaminated
34492761,,Food Establishment,Toilet Facility
34492925,10003,Food Establishment,Toilet Facility
34493030,10016,Food Establishment,Food Contains Foreign Object
34493035,11226,Food Establishment,Rodents/Insects/Garbage
34494606,10022,Food Poisoning,1 or 2
34494756,10017,Food Establishment,Rodents/Insects/Garbage
34495143,10016,Food Establishment,Food Contaminated
34496053,10462,Food Establishment,Rodents/Insects/Garbage
34496187,10458,Food Establishment,Bare Hands in Contact w/ Food
34496511,10128,Food Establishment,Rodents/Insects/Garbage
34496614,10036,Food Establishment,Handwashing
34496625,11103,Food Establishment,No Permit or License
34496924,11223,Food Establishment,Food Contains Foreign Object
34497052,10007,Food Establishment,Rodents/Insects/Garbage
34497279,10003,Food Establishment,Kitchen/Food Prep Area
34498291,10003,Smoking,Smoking Violation
34498294,11377,Food Establishment,Food Contains Foreign Object
34498349,11215,Food Establishment,Food Worker Hygiene
34498510,11375,Food Establishment,Toilet Facility
34498688,10462,Food Establishment,Rodents/Insects/Garbage
34498700,11226,Food Poisoning,1 or 2
34498947,11209,Food Establishment,Food Protection
34499559,10018,Food Establishment,Food Contaminated
34499582,11428,Food Establishment,Rodents/Insects/Garbage
34499697,11377,Food Establishment,Food Temperature
34499958,11103,Food Establishment,Food Protection
34499976,11235,Food Establishment,Kitchen/Food Prep Area
34500121,11358,Food Establishment,Bare Hands in Contact w/ Food
34500514,10032,Food Establishment,Rodents/Insects/Garbage
34500524,10032,Food Establishment,Pet/Animal
34500793,10469,Food Poisoning,3 or More
34501067,10040,Food Establishment,Rodents/Insects/Garbage
34501079,11205,Food Establishment,Pet/Animal
34501137,10016,Food Establishment,No Permit or License
34501523,11231,Food Establishment,Food Spoiled
34501660,11103,Food Establishment,No Permit or License
34501668,10035,Food Establishment,No Permit or License
34501837,10011,Food Establishment,Food Temperature
34501850,11212,Food Poisoning,1 or 2
34502088,10018,Food Establishment,Toilet Facility
34502189,10011,Food Establishment,Pet/Animal
34503307,10001,Food Establishment,Rodents/Insects/Garbage
34503733,10018,Food Establishment,Food Contains Foreign Object
34503764,11219,Food Establishment,Food Contains Foreign Object
34504695,10016,Food Establishment,Rodents/Insects/Garbage
34504698,11379,Food Establishment,Pet/Animal
34504730,10029,Food Establishment,Rodents/Insects/Garbage
34504748,10011,Food Establishment,Pet/Animal
34505073,10009,Food Establishment,Sewage
34505077,10018,Food Establishment,Bare Hands in Contact w/ Food
21830895,,Food Establishment,Rodents/Insects/Garbage
34505109,10003,Food Establishment,Food Contaminated
34505118,10467,Food Establishment,Kitchen/Food Prep Area
34505515,10031,Food Establishment,Rodents/Insects/Garbage
34505563,10036,Food Establishment,Rodents/Insects/Garbage
34505629,11213,Food Establishment,No Permit or License
34505915,11221,Food Establishment,Kitchen/Food Prep Area
34505996,11216,Food Establishment,Dishwashing/Utensils
15713722,10016,Food Establishment,Food Contains Foreign Object
34506120,10472,Food Poisoning,3 or More
34506293,11201,Food Establishment,Rodents/Insects/Garbage
34506648,10472,Food Poisoning,1 or 2
34506783,10038,Food Poisoning,1 or 2
34506806,10472,Food Poisoning,1 or 2
34506836,11419,Food Poisoning,1 or 2
34507100,10010,Food Establishment,Allergy Information
34507112,10025,Food Establishment,Rodents/Insects/Garbage
34507546,11213,Food Establishment,Bare Hands in Contact w/ Food
34507611,10013,Food Poisoning,1 or 2
34507612,10023,Food Poisoning,1 or 2
34507903,10023,Food Establishment,Letter Grading
34507930,10044,Food Establishment,Rodents/Insects/Garbage
34507937,10035,Food Establishment,Rodents/Insects/Garbage
34508316,10011,Food Establishment,Rodents/Insects/Garbage
34508391,10021,Food Poisoning,1 or 2
34508448,11220,Food Establishment,Permit/License/Certificate
34509171,10011,Food Establishment,Letter Grading
34509181,10019,Food Poisoning,1 or 2
34509201,10019,Food Poisoning,1 or 2
34509237,10023,Food Establishment,Letter Grading
34509857,11421,Food Establishment,Bare Hands in Contact w/ Food
34509935,10019,Food Establishment,Letter Grading
34510011,10452,Food Poisoning,1 or 2
34511067,11233,Food Poisoning,1 or 2
34511420,10459,Food Establishment,Rodents/Insects/Garbage
34511421,11102,Food Establishment,Rodents/Insects/Garbage
34511640,10472,Food Establishment,Kitchen/Food Prep Area
34511960,11230,Smoking,Smoking Violation
34512038,10304,Food Establishment,Food Worker Hygiene
34513151,10472,Food Establishment,Kitchen/Food Prep Area
34513254,10019,Food Poisoning,1 or 2
34513643,11421,Food Establishment,Rodents/Insects/Garbage
34514370,11361,Food Establishment,Odor
34514447,11214,Food Poisoning,3 or More
34514565,10314,Food Establishment,Food Contains Foreign Object
34514790,11354,Food Establishment,Rodents/Insects/Garbage
34515731,11233,Food Establishment,Bare Hands in Contact w/ Food
34516433,11216,Food Establishment,Toilet Facility
34516506,10012,Food Establishment,Handwashing
34516555,10013,Food Establishment,Food Protection
34516675,10014,Food Establishment,Food Contaminated
34516739,10034,Food Establishment,Letter Grading
34516784,11233,Food Poisoning,3 or More
34516869,10021,Food Establishment,Food Preparation Location
34517084,10065,Food Establishment,Rodents/Insects/Garbage
34517128,11211,Food Establishment,Pet/Animal
21796154,,Food Establishment,Food Temperature
34517771,11361,Food Establishment,Odor
34518188,11235,Food Establishment,Rodents/Insects/Garbage
34465198,11234,Food Establishment,Food Temperature
34465485,10007,Food Establishment,Rodents/Insects/Garbage
34465498,10001,Food Establishment,Rodents/Insects/Garbage
34466001,11375,Food Establishment,Toilet Facility
34466011,11413,Food Poisoning,1 or 2
34466014,11354,Food Establishment,Food Protection
34466020,10032,Food Establishment,Food Temperature
34466406,10118,Food Establishment,Rodents/Insects/Garbage
34466787,11226,Food Establishment,Bare Hands in Contact w/ Food
34466939,11354,Food Poisoning,1 or 2
34467262,10011,Food Establishment,Pesticide
34566469,10001,Food Establishment,Toilet Facility
34566577,11102,Food Poisoning,1 or 2
34566620,10001,Food Establishment,Bare Hands in Contact w/ Food
34567122,11231,Food Establishment,Rodents/Insects/Garbage
34567133,11235,Food Establishment,Rodents/Insects/Garbage
34567694,11103,Food Establishment,Dishwashing/Utensils
34567908,11214,Food Establishment,Food Spoiled
34567939,11235,Food Establishment,Food Spoiled
34567940,10017,Food Establishment,Food Spoiled
34568633,10003,Food Establishment,Food Contaminated
34569093,11427,Food Establishment,Rodents/Insects/Garbage
34569103,10011,Food Establishment,Facility Construction
34569555,10468,Food Establishment,Bare Hands in Contact w/ Food
34569890,11210,Food Establishment,Food Spoiled
34519305,10466,Food Establishment,Pet/Animal
34519366,10306,Food Establishment,Rodents/Insects/Garbage
34519979,10012,Food Establishment,Permit/License/Certificate
34520164,10065,Food Establishment,Food Contains Foreign Object
34520299,11209,Food Establishment,Rodents/Insects/Garbage
34520300,10466,Food Establishment,Rodents/Insects/Garbage
34520392,10001,Food Establishment,Rodents/Insects/Garbage
34520670,11101,Food Establishment,Kitchen/Food Prep Area
34520753,11221,Food Establishment,Food Contaminated
34521070,10301.0,Food Establishment,Food Spoiled
34521099,11691.0,Food Establishment,Food Temperature
34521279,10021.0,Food Establishment,Rodents/Insects/Garbage
34521342,11210.0,Food Establishment,Rodents/Insects/Garbage
34521359,11229.0,Food Establishment,Kitchen/Food Prep Area
34522241,11231.0,Food Establishment,Rodents/Insects/Garbage
34522356,11103.0,Food Establishment,Rodents/Insects/Garbage
34523213,10028.0,Food Establishment,Pet/Animal
34523289,10458.0,Food Establishment,Rodents/Insects/Garbage
34523307,10017.0,Food Establishment,Rodents/Insects/Garbage
34523653,11355.0,Food Poisoning,1 or 2
34523974,11223.0,Food Establishment,Food Spoiled
34524179,11368.0,Food Establishment,Rodents/Insects/Garbage
34524216,11355.0,Food Establishment,Rodents/Insects/Garbage
34524217,11231.0,Food Establishment,Rodents/Insects/Garbage
34525007,11211.0,Food Establishment,Food Contains Foreign Object
34525024,11367.0,Food Establishment,Food Spoiled
34525232,10453.0,Food Establishment,Rodents/Insects/Garbage
34525236,10301.0,Food Establishment,Rodents/Insects/Garbage
34525589,10002.0,Food Establishment,Food Contaminated
34525610,11106.0,Food Poisoning,1 or 2
34525675,10016.0,Food Establishment,Dishwashing/Utensils
34525712,10013.0,Food Establishment,Bare Hands in Contact w/ Food
34525805,11372.0,Food Establishment,Letter Grading
34525948,11101.0,Food Establishment,Food Contains Foreign Object
34526201,11213.0,Food Establishment,Pet/Animal
34526636,10018.0,Food Poisoning,1 or 2
34526682,10010.0,Food Establishment,Letter Grading
34526715,11209.0,Food Establishment,Food Contaminated
34526796,10035.0,Food Establishment,Dishwashing/Utensils
34528000,10038.0,Food Establishment,Food Spoiled
34528705,10025.0,Food Poisoning,1 or 2
34528906,10002.0,Food Establishment,Food Spoiled
34529054,10010.0,Food Establishment,Food Contains Foreign Object
34529055,10031.0,Food Establishment,Food Contains Foreign Object
34529143,11413.0,Food Establishment,Food Contains Foreign Object
34529881,10456.0,Food Establishment,Food Protection
34530982,11237.0,Food Establishment,Food Contains Foreign Object
34531240,10011.0,Food Poisoning,1 or 2
34531242,11206.0,Food Establishment,Rodents/Insects/Garbage
34531365,10021.0,Food Establishment,Handwashing
34531367,10012.0,Food Establishment,No Permit or License
34532114,10031.0,Food Establishment,Allergy Information
34532237,11355.0,Food Establishment,Rodents/Insects/Garbage
34532262,10128.0,Food Establishment,Rodents/Insects/Garbage
34532542,10013.0,Food Establishment,Food Contaminated
34532690,11209.0,Food Establishment,Kitchen/Food Prep Area
34533132,11219.0,Food Establishment,Food Spoiled
34533284,11238.0,Food Establishment,Allergy Information
34533341,11238.0,Food Establishment,Rodents/Insects/Garbage
34533529,10014.0,Food Establishment,Kitchen/Food Prep Area
34533940,11233.0,Food Poisoning,1 or 2
34534075,10033.0,Food Establishment,Toilet Facility
34534360,10024.0,Food Establishment,Rodents/Insects/Garbage
34534361,10025.0,Food Establishment,Rodents/Insects/Garbage
34535275,10016.0,Food Poisoning,1 or 2
34536255,11201.0,Food Establishment,Kitchen/Food Prep Area
34536294,10017.0,Food Establishment,Odor
34536459,11208.0,Food Poisoning,1 or 2
34537098,10003.0,Food Establishment,Food Contaminated
34537214,11413.0,Food Poisoning,1 or 2
34537315,10005.0,Food Establishment,Letter Grading
34537721,10467.0,Food Establishment,Rodents/Insects/Garbage
34537730,11355.0,Food Establishment,Rodents/Insects/Garbage
34538003,11224.0,Food Establishment,Toilet Facility
34538063,11212.0,Food Poisoning,1 or 2
34538138,11228.0,Food Poisoning,3 or More
34538725,11373.0,Food Establishment,Kitchen/Food Prep Area
34538780,11103.0,Food Poisoning,1 or 2
34538923,11378.0,Food Poisoning,1 or 2
34538953,10002.0,Food Establishment,Letter Grading
34539258,,Food Poisoning,1 or 2
34539284,11208.0,Food Establishment,Rodents/Insects/Garbage
34539428,10013.0,Food Establishment,Toilet Facility
34539438,10301.0,Food Establishment,Food Contaminated
34539572,10035.0,Food Establishment,Kitchen/Food Prep Area
34539854,11691.0,Food Establishment,Food Contains Foreign Object
34540033,10033.0,Food Establishment,Rodents/Insects/Garbage
34540055,10312.0,Food Establishment,Rodents/Insects/Garbage
34540838,10038.0,Food Establishment,Rodents/Insects/Garbage
34540864,11102.0,Food Establishment,Rodents/Insects/Garbage
34541098,11231.0,Food Establishment,Ventilation
34541172,11004.0,Food Establishment,Kitchen/Food Prep Area
34541295,10452.0,Food Poisoning,3 or More
34542293,10012,Food Establishment,No Permit or License
34542334,10456,Food Establishment,Food Preparation Location
34542571,11385,Food Establishment,Rodents/Insects/Garbage
34542677,10314,Food Poisoning,3 or More
34543733,11211,Food Establishment,No Permit or License
34543759,10453,Food Establishment,Food Spoiled
34543910,11211,Food Establishment,Letter Grading
21874452,,Food Establishment,Bare Hands in Contact w/ Food
34544513,10032,Food Establishment,Toilet Facility
34544668,10463,Food Establishment,Food Worker Illness
34544794,11208,Food Establishment,Rodents/Insects/Garbage
34544907,11375,Food Establishment,Rodents/Insects/Garbage
34545524,10305,Food Establishment,No Permit or License
34545663,11218,Food Poisoning,1 or 2
34545857,10021,Food Poisoning,1 or 2
34546506,11224,Food Establishment,Handwashing
34546542,10003,Food Establishment,Facility Construction
34546613,11105,Food Establishment,Sign
34547543,11234,Food Poisoning,1 or 2
34547546,10452,Food Poisoning,1 or 2
34547572,11212,Food Establishment,Kitchen/Food Prep Area
34547701,10452,Food Establishment,Bare Hands in Contact w/ Food
34547801,10451,Food Establishment,Food Spoiled
34548648,11217,Food Establishment,No Permit or License
34548814,10002,Food Establishment,Rodents/Insects/Garbage
34549675,10002,Food Establishment,No Permit or License
34549912,10075,Food Establishment,Bare Hands in Contact w/ Food
34550297,11201,Food Establishment,Odor
34550680,11692,Food Establishment,Food Contains Foreign Object
34551367,10462,Food Establishment,Rodents/Insects/Garbage
34551434,10025,Food Establishment,Kitchen/Food Prep Area
34551519,10017,Food Poisoning,1 or 2
34551675,10065,Food Poisoning,1 or 2
34551718,10021,Food Establishment,Food Spoiled
34551937,10011,Food Establishment,Rodents/Insects/Garbage
34552093,11216,Food Establishment,Food Contaminated
34552282,11101,Food Establishment,Food Temperature
34552374,10033,Food Establishment,Toilet Facility
34552510,10310,Food Establishment,Allergy Information
34552533,11212,Food Establishment,Rodents/Insects/Garbage
34552723,11420,Food Poisoning,3 or More
34552838,10309,Food Establishment,Sewage
34552839,10013,Food Poisoning,1 or 2
34552986,10462,Food Establishment,Letter Grading
34553062,11209,Food Establishment,Rodents/Insects/Garbage
34553085,10011,Food Establishment,Rodents/Insects/Garbage
34553091,10003,Food Establishment,Facility Construction
34553335,10467,Food Establishment,Bare Hands in Contact w/ Food
34553336,11417,Food Establishment,Bare Hands in Contact w/ Food
34553570,11419,Food Establishment,Food Spoiled
34553799,10019,Food Establishment,Kitchen/Food Prep Area
34553802,11377,Food Poisoning,1 or 2
34554023,10462,Food Poisoning,3 or More
34554711,11419,Smoking,Smoking Violation
34554850,11249,Food Poisoning,1 or 2
34556492,10001,Food Establishment,Rodents/Insects/Garbage
34556584,10475,Food Establishment,Rodents/Insects/Garbage
34556921,10016,Food Establishment,Food Temperature
34557651,11222,Food Establishment,Rodents/Insects/Garbage
34558132,11355,Food Establishment,Kitchen/Food Prep Area
34558720,10314,Food Poisoning,3 or More
34558763,10451,Food Establishment,Rodents/Insects/Garbage
34559230,10018,Food Establishment,Food Temperature
34559265,10029,Food Establishment,Food Contaminated
34560241,11102,Smoking,Smoking Violation
34560681,10037,Food Establishment,Toilet Facility
34560726,11226,Food Establishment,Food Contains Foreign Object
34560917,10011,Food Establishment,Rodents/Insects/Garbage
34561535,11214,Food Poisoning,1 or 2
34561584,10010,Food Poisoning,1 or 2
34562020,11217,Food Establishment,Rodents/Insects/Garbage
34562462,10038,Food Establishment,Food Preparation Location
34562954,10468,Food Establishment,Food Spoiled
34563095,10013,Food Establishment,Food Spoiled
34563114,11218,Food Poisoning,3 or More
34563512,10011,Smoking,Smoking Violation
34563573,11355,Food Poisoning,1 or 2
34563609,10012,Food Establishment,Odor
34563629,11102,Food Poisoning,1 or 2
34563630,10010,Food Poisoning,1 or 2
34564134,10013,Food Establishment,Rodents/Insects/Garbage
34564152,11101,Food Establishment,Rodents/Insects/Garbage
34564155,10021,Food Establishment,Rodents/Insects/Garbage
34564178,11355,Food Establishment,Rodents/Insects/Garbage
34564230,10466,Food Establishment,Facility Construction
34564348,10002,Food Establishment,No Permit or License
34564559,10452,Food Establishment,Food Worker Hygiene
34564562,10019,Food Poisoning,1 or 2
34564714,10314,Food Establishment,Rodents/Insects/Garbage
34564736,10002,Food Establishment,Food Preparation Location
34564938,10025,Food Establishment,Food Contains Foreign Object
34565139,11235,Food Establishment,Bare Hands in Contact w/ Food
34565823,11103,Food Poisoning,3 or More
34565978,10467,Food Establishment,Food Contains Foreign Object
34572891,10038,Food Establishment,Food Spoiled
34572945,11691,Food Poisoning,1 or 2
34572953,11213,Food Establishment,Rodents/Insects/Garbage
34573355,11217,Food Poisoning,1 or 2
34573365,11230,Food Poisoning,1 or 2
34573632,10472,Food Establishment,Food Contains Foreign Object
34573811,11377,Food Establishment,Rodents/Insects/Garbage
34574212,11691,Food Establishment,Rodents/Insects/Garbage
34574306,10030,Food Establishment,Dishwashing/Utensils
34574400,11375,Food Establishment,Food Worker Hygiene
34574731,10023,Food Establishment,Rodents/Insects/Garbage
34574738,10003,Food Establishment,Rodents/Insects/Garbage
34575671,11201,Food Establishment,Rodents/Insects/Garbage
34576554,10451,Food Establishment,Food Spoiled
34576571,10468,Food Establishment,Rodents/Insects/Garbage
34576593,11230,Food Establishment,Rodents/Insects/Garbage
34576594,10032,Food Poisoning,1 or 2
34576601,11223,Food Establishment,Rodents/Insects/Garbage
34577192,11691,Food Poisoning,3 or More
34577327,10025,Food Establishment,Toilet Facility
34577483,10029,Food Establishment,Rodents/Insects/Garbage
34577538,11433,Food Establishment,Rodents/Insects/Garbage
34577872,10018,Food Establishment,Food Contaminated
34577999,10038,Food Poisoning,3 or More
34578037,10027,Food Poisoning,1 or 2
34578420,10002,Food Establishment,Rodents/Insects/Garbage
34578544,11215,Food Establishment,Kitchen/Food Prep Area
34578836,10453,Food Establishment,Food Preparation Location
34578954,11101,Food Establishment,Permit/License/Certificate
34579157,11215,Food Establishment,Food Protection
34579341,10001,Food Establishment,Rodents/Insects/Garbage
34579365,10003,Food Establishment,Food Spoiled
34579553,11205,Food Establishment,Kitchen/Food Prep Area
34579595,11354,Food Establishment,Toilet Facility
34579794,10039,Food Establishment,Food Temperature
34580012,11374,Food Establishment,Food Contains Foreign Object
34580494,11374,Food Establishment,Food Contains Foreign Object
34580539,10022,Food Poisoning,1 or 2
34580557,11219,Food Establishment,Odor
34580664,10022,Food Establishment,Food Contaminated
34580679,10018,Food Establishment,Food Worker Hygiene
34581351,11218,Food Establishment,Bare Hands in Contact w/ Food
34581491,10451,Food Poisoning,1 or 2
34581513,10453,Food Establishment,Food Protection
34581739,10003,Food Establishment,Food Spoiled
34581762,10009,Food Establishment,Toilet Facility
34581936,11231,Food Establishment,Facility Construction
34581952,10016,Food Poisoning,1 or 2
34581953,10025,Food Establishment,Rodents/Insects/Garbage
34582226,11419,Food Establishment,Odor
34582358,10002,Food Establishment,Sewage
34582610,10452,Food Establishment,Food Contains Foreign Object
34583058,10039,Food Establishment,Kitchen/Food Prep Area
34583171,10005,Food Establishment,Odor
34583255,10314,Food Establishment,Food Worker Hygiene
34583256,11216,Food Establishment,Food Contaminated
34583283,10002,Food Establishment,Sewage
34583454,11354,Food Establishment,Food Contains Foreign Object
34583460,11201,Food Establishment,Food Contains Foreign Object
34583735,11215,Food Establishment,Letter Grading
34584083,11215,Food Establishment,Food Contaminated
34584126,11354,Food Establishment,Food Worker Hygiene
34584135,10475,Food Poisoning,1 or 2
34584548,11215,Food Establishment,Rodents/Insects/Garbage
34584692,11220,Food Establishment,No Permit or License
34585021,11214,Food Poisoning,1 or 2
34585433,10023,Food Establishment,Rodents/Insects/Garbage
34585457,11211,Food Poisoning,1 or 2
34585464,10007,Food Poisoning,1 or 2
34585467,10036,Food Establishment,Letter Grading
34585484,10030,Food Poisoning,3 or More
34585527,11375,Food Establishment,Rodents/Insects/Garbage
34585667,11236,Food Establishment,Food Worker Hygiene
34585828,11217.0,Food Establishment,Letter Grading
34586156,10003.0,Food Establishment,Rodents/Insects/Garbage
34586273,10467.0,Food Establishment,Food Contains Foreign Object
34586327,11212.0,Food Establishment,Food Protection
34586538,11235.0,Food Establishment,Toxic Chemical/Material
34586654,11101.0,Food Establishment,Odor
34586803,10017.0,Food Establishment,Letter Grading
34586943,11226.0,Food Establishment,Food Spoiled
34587322,10017.0,Food Establishment,Rodents/Insects/Garbage
34587422,10009.0,Food Establishment,Permit/License/Certificate
34587637,10017.0,Food Establishment,Dishwashing/Utensils
34587894,11355.0,Food Poisoning,1 or 2
34587937,10029.0,Food Poisoning,3 or More
34588235,10021.0,Food Establishment,Toilet Facility
34588349,10028.0,Food Poisoning,1 or 2
34588523,11237.0,Food Establishment,Pet/Animal
34588699,11222.0,Food Establishment,Food Temperature
34589014,10007.0,Food Establishment,Rodents/Insects/Garbage
34589331,11238.0,Food Establishment,Rodents/Insects/Garbage
34589436,10029.0,Food Poisoning,1 or 2
34589806,10026.0,Food Poisoning,3 or More
34589880,10463.0,Food Establishment,Food Worker Illness
34590257,10014.0,Food Establishment,Rodents/Insects/Garbage
34590260,10027.0,Food Poisoning,1 or 2
34590272,10031.0,Food Establishment,Pet/Animal
34590531,11355.0,Food Poisoning,3 or More
34590732,10011.0,Food Establishment,Rodents/Insects/Garbage
34590787,11370.0,Food Establishment,Letter Grading
34590979,11355.0,Food Establishment,Rodents/Insects/Garbage
34591270,11201.0,Food Establishment,Rodents/Insects/Garbage
21937880,,Food Poisoning,1 or 2
34592275,10028.0,Food Poisoning,1 or 2
34592435,11205.0,Food Establishment,Food Worker Hygiene
34592700,11204.0,Food Establishment,Food Contaminated
34593609,11221.0,Food Establishment,Letter Grading
34593848,11419.0,Food Establishment,Food Contains Foreign Object
34593868,10025.0,Food Establishment,Rodents/Insects/Garbage
34593890,11215.0,Food Establishment,Odor
